subject,course_number,title,department_code,cipc_code,hr_low,hr_high,department_desc
ACC,201,Principles of Accounting I,BUS,520101,3,,Business
ACC,202,Principles of Accounting II,BUS,520101,3,,Business
ACC,301,Intermediate Accounting I,BUS,520101,3,,Business
ACC,302,Intermediate Accounting II,BUS,520101,3,,Business
ACC,305,Cost Accounting,BUS,520101,3,,Business
ACC,310,Accounting Information Systems,BUS,520101,3,,Business
ACC,405,Principles of Taxation,BUS,520101,3,,Business
ACC,410,Auditing,BUS,520101,3,,Business
ACC,411,Accounting Internship,BUS,520101,1,3,Business
ACC,490,Independent Study,BUS,520101,1,3,Business
ACC,499,Selected Topics,BUS,520101,1,3,Business
ARA,101,Modern Standard Arabic I,FL,,4,,Foreign Languages
ARA,102,Modern Standard Arabic II,FL,,4,,Foreign Languages
ARA,201,Inter. Modrn Standard Arabic I,FL,,3,,Foreign Languages
ARA,202,Inter. Modern Arabic II,FL,,3,,Foreign Languages
ARA,301,Adv Modern Standard Arabic,FL,,3,,Foreign Languages
ARA,302,Adv Modern Standard Arabic II,FL,,3,,Foreign Languages
ART,100,Introduction to Art,ART,,3,,Art
ART,110,Drawing Principles,ART,,3,,Art
ART,111,Introduction to Art,ART,,3,,Art
ART,115,Drawing II,ART,,3,,Art
ART,120,2D Form and Concept,ART,,3,,Art
ART,130,3D Form and Concept,ART,,3,,Art
ART,201,Drawing I,ART,,3,,Art
ART,202,Drawing II,ART,,3,,Art
ART,210,Two-Dimensional Design,ART,,3,,Art
ART,211,Three-Dimensional Design,ART,,3,,Art
ART,220,Communication Design,ART,,3,,Art
ART,222,Painting I,ART,,3,,Art
ART,223,Painting on Paper,ART,,3,,Art
ART,230,Sculpture,ART,,3,,Art
ART,234,Ceramics I,ART,,3,,Art
ART,235,Ceramics,ART,,3,,Art
ART,237,Fibers,ART,,3,,Art
ART,239,Adornment,ART,,3,,Art
ART,240,Darkroom Photography,ART,,3,,Art
ART,250,Painting,ART,,3,,Art
ART,270,Introduction to Art History,ART,,3,,Art
ART,299,Special Studies,ART,,1,4,Art
ART,301,Art History I,ART,,3,,Art
ART,302,Art History II,ART,,3,,Art
ART,310,Figure Drawing,ART,,3,,Art
ART,320,Publication Design,ART,,3,,Art
ART,322,Painting II,ART,,3,,Art
ART,330,Adv Fig Sculpt: Strct/Frm/Anat,ART,,3,,Art
ART,331,Adv Figure Sculpt: Composition,ART,,3,,Art
ART,334,Ceramics II,ART,,3,,Art
ART,335,Advanced Ceramics,ART,,3,,Art
ART,340,Digital Photography,ART,,3,,Art
ART,350,Advanced Painting,ART,,3,,Art
ART,355,Adv Painting: Space/Mat/Concpt,ART,,3,,Art
ART,370,History&Theory of Photography,ART,,3,,Art
ART,371,"Women, Art, and Culture",ART,,3,,Art
ART,372,Global Modernisms,ART,,3,,Art
ART,380,Special Studies,ART,,1,3,Art
ART,399,Special Studies,ART,,1,5,Art
ART,410,Art/Criticism 1970 to Present,ART,,3,,Art
ART,411,Art Internship,ART,,1,6,Art
ART,420,Interactive Design,ART,,3,,Art
ART,422,Painting III,ART,,3,4,Art
ART,425,Brand Design,ART,,3,,Art
ART,434,Ceramics III,ART,,3,,Art
ART,439,Mixed Media Materials,ART,,3,,Art
ART,440,Adv Digital Photo: Documentary,ART,,3,,Art
ART,443,Adv Dgtl Photo: Construct Imag,ART,,3,,Art
ART,444,Ceramics III,ART,,3,,Art
ART,445,Adv Darkroom Photo: Alt Procss,ART,,3,,Art
ART,450,Sculpture III,ART,,3,,Art
ART,470,Art & Criticism: 1970-Present,ART,,3,,Art
ART,491,Senior Seminar,ART,,3,,Art
ART,492,Senior Project,ART,,3,,Art
BIB,111,Old Testament Introduction,BIB,390201,3,,Biblical & Theological Studies
BIB,142,New Testament Introduction,BIB,390201,3,,Biblical & Theological Studies
BIB,201,Current Issues in Biblical Stu,BIB,390201,3,,Biblical & Theological Studies
BIB,211,Intro to Relat Yth Min,BIB,390201,3,,Biblical & Theological Studies
BIB,212,Prep for Rel Yth Min Skills,BIB,390201,3,,Biblical & Theological Studies
BIB,213,Youth Ministry Practicum,BIB,390201,3,,Biblical & Theological Studies
BIB,214,Youth Ministry Practicum II,BIB,390201,3,,Biblical & Theological Studies
BIB,250,Biblical Lit and Theology,OM,521003,3,,Organizational Management
BIB,251,Biblical Literature,BIB,,3,,Biblical & Theological Studies
BIB,252,Christian Doctrine,BIB,390201,3,,Biblical & Theological Studies
BIB,253,Spirituality in the Workplace,OM,521003,3,,Organizational Management
BIB,277,Christian Doctrine I,BIB,390201,3,,Biblical & Theological Studies
BIB,278,Christian Doctrine II,BIB,390201,3,,Biblical & Theological Studies
BIB,280,Theology & Ministry Conference,BIB,,1,,Biblical & Theological Studies
BIB,297,Special Topics,BIB,390201,0,3,Biblical & Theological Studies
BIB,302,Hist/Expansion Christianity I,BIB,,3,,Biblical & Theological Studies
BIB,303,Hist/Expansion Christianity II,BIB,,3,,Biblical & Theological Studies
BIB,311,Pent and Hist Studies,BIB,390201,3,,Biblical & Theological Studies
BIB,322,Deuteronomy/OldTestamentEthics,BIB,390201,3,,Biblical & Theological Studies
BIB,327,Psalms,BIB,390201,3,,Biblical & Theological Studies
BIB,329,Prophets of Israel,BIB,390201,3,,Biblical & Theological Studies
BIB,342,The Gospel and Acts,BIB,390201,3,,Biblical & Theological Studies
BIB,346,Gospel of John,BIB,390201,3,,Biblical & Theological Studies
BIB,348,Pauline Epistles,BIB,390201,3,,Biblical & Theological Studies
BIB,349,Romans,BIB,390201,3,,Biblical & Theological Studies
BIB,355,Ephesians & Colossians,BIB,,1,3,Biblical & Theological Studies
BIB,358,General Epistles,BIB,,3,,Biblical & Theological Studies
BIB,360,Christian Spirituality,BIB,,3,,Biblical & Theological Studies
BIB,362,Science and Theology,BIB,,3,,Biblical & Theological Studies
BIB,365,Revelation & N.T. Eschatology,BIB,,3,,Biblical & Theological Studies
BIB,370,Theology of Sin,BIB,,3,,Biblical & Theological Studies
BIB,371,Christian Ethics,BIB,390201,3,,Biblical & Theological Studies
BIB,372,Hermeneutics,BIB,390201,3,,Biblical & Theological Studies
BIB,373,Christology,BIB,,3,,Biblical & Theological Studies
BIB,374,Global Theology,BIB,,3,,Biblical & Theological Studies
BIB,375,New Testament Ethics,BIB,,3,,Biblical & Theological Studies
BIB,376,Outreach to Contemp Culture,BIB,390201,3,,Biblical & Theological Studies
BIB,377,Book Study in the Greek Text I,BIB,,3,,Biblical & Theological Studies
BIB,378,Book Study in the Greek TextII,BIB,,3,,Biblical & Theological Studies
BIB,380,Evangelism,BIB,390201,1,3,Biblical & Theological Studies
BIB,383,Hist of the Christian Church,BIB,390201,3,,Biblical & Theological Studies
BIB,384,History of the Early Church,BIB,,3,,Biblical & Theological Studies
BIB,386,Renaissance and Reformation,BIB,390201,3,,Biblical & Theological Studies
BIB,387,John Calvin & Reformed Trad.,BIB,390201,3,,Biblical & Theological Studies
BIB,388,Awakenings in Christian Histor,BIB,,3,,Biblical & Theological Studies
BIB,397,Special Topics,BIB,390201,0,3,Biblical & Theological Studies
BIB,399,Independent Study,BIB,390201,1,3,Biblical & Theological Studies
BIB,430,Isaiah,BIB,390201,3,,Biblical & Theological Studies
BIB,432,Old Testament Theology,BIB,,3,,Biblical & Theological Studies
BIB,449,Romans in the Greek Text,BIB,,4,,Biblical & Theological Studies
BIB,450,Old Testament World,BIB,,3,,Biblical & Theological Studies
BIB,458,General Epistles,BIB,390201,3,,Biblical & Theological Studies
BIB,462,Theology of Scripture,BIB,,3,,Biblical & Theological Studies
BIB,475,Wisdom Literature,BIB,,3,,Biblical & Theological Studies
BIB,486,Trinitarian Theology,BIB,,3,,Biblical & Theological Studies
BIB,487,Modern Theology,BIB,,3,,Biblical & Theological Studies
BIB,492,Senior Integration Paper,BIB,390201,3,,Biblical & Theological Studies
BIO,111,General Biology,BIO,,4,,Biology
BIO,112,General Biology II,BIO,260101,4,,Biology
BIO,112L,General Biology II Lab,BIO,260101,1,,Biology
BIO,219,Nutrition,BIO,260101,3,,Biology
BIO,220,Human Anatomy & Physio I,BIO,,3,4,Biology
BIO,221,Human Anatomy & Physio II,BIO,,4,,Biology
BIO,221L,Human Anatomy & Phys II Lab,BIO,260101,1,,Biology
BIO,240,Microbiology,BIO,260101,4,,Biology
BIO,240L,Microbiology Lab,BIO,260101,1,,Biology
BIO,242,Cellular & Molecular Biology I,BIO,,4,,Biology
BIO,243,Cellular & Molecular Bio II,BIO,260101,4,,Biology
BIO,260,Ecology,BIO,,4,,Biology
BIO,261,Ecology,BIO,,4,,Biology
BIO,263,Natural Hist/Applchn Highlands,BIO,260101,3,,Biology
BIO,291,Biological Perspectives,BIO,,3,,Biology
BIO,299,Special Topics in Biology,BIO,,1,4,Biology
BIO,311,Practicum in Biology,BIO,260101,0,3,Biology
BIO,312,Practicum in Physical Therapy,BIO,260101,1,3,Biology
BIO,313,Genetics,BIO,,4,,Biology
BIO,315,Macroevolution & Microevolutn,BIO,260101,3,,Biology
BIO,319,Nutrition,BIO,260101,3,,Biology
BIO,320,Comparative Anatomy,BIO,260101,4,,Biology
BIO,321,Comparative Animal Physiology,BIO,260101,3,,Biology
BIO,323,Developmental Biology,BIO,260101,4,,Biology
BIO,324,Biology of Invertebrates,BIO,260101,3,4,Biology
BIO,326,Insect Biology and Ecology,BIO,260101,4,,Biology
BIO,327,Ornithology,BIO,260101,4,,Biology
BIO,331,Herpetology,BIO,,3,,Biology
BIO,335,Field Botany,BIO,260101,4,,Biology
BIO,340,Microbiology,BIO,260101,4,,Biology
BIO,345,Immunology,BIO,260101,3,,Biology
BIO,346,Cancer Biology,BIO,,3,,Biology
BIO,361,Land Resources,BIO,260101,4,,Biology
BIO,390,Special Topics in Biology,BIO,260101,1,4,Biology
BIO,391,Research In Biology,BIO,300101,3,,Biology
BIO,392,Directed Individual Study,BIO,260101,1,4,Biology
BIO,413,Genetics,BIO,260101,4,,Biology
BIO,478,Alpine Ecology,BIO,,4,,Biology
BIO,490,Biology Seminar,BIO,260101,0,,Biology
BIO,491,Biological Perspective,BIO,260101,2,,Biology
BIO,492,Senior Integration Paper I,BIO,260101,2,,Biology
BIO,493,Senior Integration Paper II,BIO,,1,,Biology
BUS,205,Microsoft Excel: BUS&ECON apps,BUS,,1,,Business
BUS,250,Principles of Management,BUS,,3,,Business
BUS,299,Special Topics,BUS,,1,3,Business
BUS,310,Business Research Paper,BUS,,1,,Business
BUS,320,Human Resource Management,BUS,520101,3,,Business
BUS,322,Legal Environ of Employment,BUS,520101,3,,Business
BUS,325,Negotiation/ConflictResolution,BUS,,3,,Business
BUS,330,Small Business Management,BUS,520101,3,,Business
BUS,333,Small Business Management,BUS,520101,3,,Business
BUS,335,Entrepreneurship,BUS,520101,3,,Business
BUS,344,Organizational Behavior,BUS,520101,3,,Business
BUS,345,Business Law,BUS,520101,3,,Business
BUS,350,Business Ethics Seminar,BUS,520101,3,,Business
BUS,360,Mgt. Lessons from Lit & Film,BUS,,3,,Business
BUS,400,Strategic Management,BUS,520101,3,,Business
BUS,410,Business Research Paper,BUS,,1,,Business
BUS,411,Business Internship,BUS,520101,1,3,Business
BUS,490,Independent Study,BUS,520101,1,3,Business
BUS,492,Senior Integration Paper,BUS,520101,2,,Business
BUS,499,Selected Topics,BUS,520101,3,,Business
CDV,201,Principles of Macroeconomics,CDV,450601,3,,Economics & Community Develop
CDV,202,Principles of Microeconomics,CDV,450601,4,,Economics & Community Develop
CDV,210,Theory of Community Developmnt,CDV,,3,,Economics & Community Develop
CDV,275,Quant Research/Field Settings,CDV,,4,,Economics & Community Develop
CDV,290,Special Topics,CDV,,1,3,Economics & Community Develop
CDV,300,Liv/Work Multicultural Context,CDV,,3,,Economics & Community Develop
CDV,310,Comm Dev Principles & Issues,CDV,450601,3,,Economics & Community Develop
CDV,343,US Micro. Development Methods,CDV,,3,,Economics & Community Develop
CDV,345,Agricultural Development,CDV,,3,,Economics & Community Develop
CDV,390,Special Topics,CDV,,1,3,Economics & Community Develop
CDV,411,Community Develpment Practicum,CDV,,1,2,Economics & Community Develop
CDV,420,U.S. Urban Poverty,CDV,450601,3,,Economics & Community Develop
CDV,448,Intern Microenterprise Dev I,CDV,450601,3,,Economics & Community Develop
CDV,460,Cross-Cultural Soc Sci Res Mth,CDV,,4,,Economics & Community Develop
CDV,465,Econometrics I,CDV,450601,3,,Economics & Community Develop
CDV,466,Econometrics II,CDV,450601,3,,Economics & Community Develop
CDV,480,U.S. Research Internship,CDV,,1,12,Economics & Community Develop
CDV,481,International Res Internship,CDV,450601,1,12,Economics & Community Develop
CDV,490,Senior Seminar,CDV,450601,3,,Economics & Community Develop
CDV,492,Senior Integration Paper,CDV,450601,2,,Economics & Community Develop
CDV,499,Independent Study,CDV,,3,,Economics & Community Develop
CH,0,Chapel,COR,,0,,Core
CHE,103,Introductory Chemistry I,CHE,400501,4,,Chemistry
CHE,103L,Introductory Chemistry I Lab,CHE,400501,1,,Chemistry
CHE,104,Introductory Chemistry II,CHE,400501,4,,Chemistry
CHE,104L,Introductory Chemistry II Lab,CHE,400501,1,,Chemistry
CHE,121,General Chemistry I,CHE,400501,3,,Chemistry
CHE,121L,General Chemistry I Lab,CHE,400501,1,,Chemistry
CHE,122,General Chemistry II,CHE,400501,3,,Chemistry
CHE,122L,General Chemistry II Lab,CHE,400501,1,,Chemistry
CHE,225,Analytical Chemistry,CHE,400501,4,,Chemistry
CHE,299,Special Topics in Chemistry,CHE,,1,4,Chemistry
CHE,323,Organic Chemistry I,CHE,400501,4,,Chemistry
CHE,323L,Organic Chemistry I Lab,CHE,,1,,Chemistry
CHE,324,Organic Chemistry II,CHE,400501,4,,Chemistry
CHE,324L,Organic Chemistry I Laboratory,CHE,400501,1,,Chemistry
CHE,326,Instrumental Analysis,CHE,400501,4,,Chemistry
CHE,326L,Instrumental Analysis Lab,CHE,400501,1,,Chemistry
CHE,332,Environmental Chemistry,CHE,400501,4,,Chemistry
CHE,401,Research,CHE,400501,0,2,Chemistry
CHE,402,Research,CHE,400501,1,2,Chemistry
CHE,422,Advanced Organic Chemistry,CHE,400501,3,4,Chemistry
CHE,423,Biochemistry,CHE,400501,4,,Chemistry
CHE,423L,Biochemistry Lab,CHE,,1,,Chemistry
CHE,424,Biochemistry II,CHE,,3,,Chemistry
CHE,425,Physical Chemistry I,CHE,400501,4,,Chemistry
CHE,425L,Physical Chemistry I Lab,CHE,400501,1,,Chemistry
CHE,426,Physical Chemistry II,CHE,400501,4,,Chemistry
CHE,428,Inorganic Chemistry,CHE,400501,3,4,Chemistry
CHE,491,Metachemistry & Sr Integ Paper,CHE,400501,2,,Chemistry
CHE,492,Senior Integration Paper,CHE,400501,2,,Chemistry
CHI,101,Elementary Mandarin Chinese,FL,,4,,Foreign Languages
CHI,102,Elem. Mandarin Chinese II,FL,,4,,Foreign Languages
COM,201,Theatre & Christian Worldview,ENG,230101,3,,English
COM,202,Intro to Theatre,ENG,,3,,English
COM,235,Acting I,ENG,,4,,English
COM,250,Theatre History to 20thCentury,ENG,,3,,English
COM,260,Basic Design for the Theatre,ENG,,3,,English
COM,290,Production Practicum,ENG,230101,0,3,English
COM,297,Voice And Diction,ENG,,3,,English
COM,299,Special Topics,ENG,,0,3,English
COM,302,Dramatc Arts&Christn Thought I,ENG,,3,,English
COM,310,Playwriting,ENG,,3,,English
COM,315,Screenwriting,ENG,,3,,English
COM,335,Acting II,ENG,230101,3,4,English
COM,350,Costume History,ENG,,3,,English
COM,390,Production Practicum,ENG,,0,3,English
COM,397,Accents and Dialects,ENG,,3,,English
COM,402,Dramtc Arts&Christn Thought II,ENG,,3,,English
COM,411,Internship,ENG,,1,3,English
COR,100,The Christian Mind,COR,,2,,Core
COR,101,The Christian Mind,COR,,0,,Core
COR,116,Self in Society II,COR,,3,,Core
COR,225,Cultural Herit of the West I,COR,,3,,Core
COR,226,Cultural Herit of the West II,COR,,3,,Core
COR,227,Cult Herit West - Art & Music,COR,,2,,Core
COR,325,Global Trends in the 21st Cent,COR,,3,,Core
COR,337,Intercultural Experience,COR,,0,3,Core
COR,340,Christ and Culture Seminar,COR,,1,,Core
COS,117,"Technology, Faith and Society",COS,,3,,Computer Science
COS,130,Comp Programming Methodology,COS,,4,,Computer Science
COS,130L,Comp Program Methodology Lab,COS,,0,,Computer Science
COS,131,Computing For Engineers,COS,,4,,Computer Science
COS,132,Computing with SAS,COS,,4,,Computer Science
COS,150,Adv Programming Methodology,COS,,4,,Computer Science
COS,150L,Adv. Computer Prog Method Lab,COS,,0,,Computer Science
COS,210,Discrete Struct. in Computing,COS,,4,,Computer Science
COS,230,Data Structures & Algorithms,COS,,4,,Computer Science
COS,240L,Management Info Systems Lab,COS,,0,,Computer Science
COS,250,Intro To Computer Organization,COS,,4,,Computer Science
COS,250L,Computer Architechture Lab,COS,,0,,Computer Science
COS,260,Ethical/Pro Issues-Computing,COS,,3,,Computer Science
COS,299,Special Topics,COS,,0,4,Computer Science
COS,300,Database Systems,COS,,4,,Computer Science
COS,311,Computer and Inform. Security,COS,,4,,Computer Science
COS,313,Introduction to Cryptography,COS,,4,,Computer Science
COS,315,Cyber Defense,COS,,4,,Computer Science
COS,317,Software Security Engineering,COS,,4,,Computer Science
COS,325L,Operating Systems Lab,COS,,0,,Computer Science
COS,326,Operating Systems,COS,,4,,Computer Science
COS,327,Network Programming,COS,,4,,Computer Science
COS,330,Intro to Mgmt Info Systems,COS,,3,,Computer Science
COS,350,Programming Languages,COS,,4,,Computer Science
COS,375,Software Engineering,COS,,4,,Computer Science
COS,380,Personal Software Engineering,COS,,4,,Computer Science
COS,411,Computer Science Internship,COS,110101,1,3,Computer Science
COS,425,Foundations of Computer Scienc,COS,,4,,Computer Science
COS,450,Special Topics,COS,,1,4,Computer Science
COS,492,Senior Integration Paper,COS,,2,,Computer Science
ECO,201,Principles of Macroeconomics,CDV,450601,3,,Economics & Community Develop
ECO,202,Principles of Microeconomics,CDV,450601,4,,Economics & Community Develop
ECO,210,Foundations of Community Dev,BUS,520101,1,3,Business
ECO,211,Economics Internship,CDV,,1,4,Economics & Community Develop
ECO,301,Intermediate Macroeconomics,CDV,,3,,Economics & Community Develop
ECO,302,Intermediate Microeconomics,CDV,450601,3,,Economics & Community Develop
ECO,310,Public Finance,CDV,,3,,Economics & Community Develop
ECO,320,History of Economic Thought,CDV,,3,,Economics & Community Develop
ECO,330,Industrial Organization,CDV,,3,,Economics & Community Develop
ECO,343,US Micro. Development Methods,CDV,,3,,Economics & Community Develop
ECO,348,Microfinance,CDV,,3,,Economics & Community Develop
ECO,400,International Economics,CDV,,3,,Economics & Community Develop
ECO,405,Money and Banking,CDV,450601,3,,Economics & Community Develop
ECO,410,Third World Economic Develpmnt,CDV,,3,,Economics & Community Develop
ECO,411,Economics Internship,BUS,450601,1,4,Business
ECO,420,U.S. Urban Poverty,CDV,450601,3,,Economics & Community Develop
ECO,430,Labor Economics,BUS,450601,3,,Business
ECO,450,Health Economics,CDV,,3,,Economics & Community Develop
ECO,460,Health Economics,CDV,450601,3,,Economics & Community Develop
ECO,465,Econometrics I,CDV,450601,3,,Economics & Community Develop
ECO,466,Econometrics II,CDV,450601,3,,Economics & Community Develop
ECO,490,Independent Study,CDV,,2,3,Economics & Community Develop
ECO,492,Senior Integration Paper,CDV,,2,,Economics & Community Develop
ECO,499,Special Topics,CDV,,1,3,Economics & Community Develop
EDU,120,Foundations of Education,EDU,,4,,Education
EDU,121,Introduction to Teaching,EDU,,1,3,Education
EDU,121F,Intro to Teach Field Placement,EDU,,0,,Education
EDU,122,Perspectives in Teaching,EDU,,1,2,Education
EDU,215,Technology for Educators,EDU,,3,,Education
EDU,220,Foundations of Education,EDU,,4,,Education
EDU,222,Educational Psychology,EDU,,3,,Education
EDU,234,Tchng in a Pluralistic Society,EDU,,3,,Education
EDU,266,Literature For Children,EDU,,3,,Education
EDU,296,May Practicum,EDU,,1,3,Education
EDU,303,Developmental Psychology,EDU,,3,,Education
EDU,310,Professional Development Exper,EDU,,0,,Education
EDU,311,Professional Development Exper,EDU,,0,,Education
EDU,312,Professional Development Exper,EDU,,0,,Education
EDU,313,Lang Arts Content/Skills - EG,EDU,,2,,Education
EDU,315,Tchng Reading in Early Grades,EDU,131202,3,,Education
EDU,317,Assessing & Correcting Reading,EDU,,2,3,Education
EDU,318,Reading/Writing Content Areas,EDU,,3,,Education
EDU,322,Nature/Needs Early Adoles Lrnr,EDU,,3,,Education
EDU,324,Science Content and Skills,EDU,131202,3,,Education
EDU,326,Mathematics Content and Skills,EDU,,3,,Education
EDU,328,Soc Stu Cont/Skills Early Grds,EDU,131202,3,,Education
EDU,330,Soc/Studies Cont/Skills MG/Sec,EDU,,3,,Education
EDU,335,Phys Education in Early Grades,EDU,131202,2,,Education
EDU,337,"Music, Art & PE in Elem School",EDU,,3,,Education
EDU,340,Curriculum Methds/Sec School,EDU,,4,,Education
EDU,342,Ess of Inst Early Grades,EDU,,3,,Education
EDU,343,Ess of Inst Middle Grades,EDU,,3,,Education
EDU,345,Art for Children/Early Grades,EDU,131202,2,,Education
EDU,350,Ed Thgt & Prct Charlotte Mason,EDU,,3,,Education
EDU,352,Tchng Music in Early Grades,EDU,131202,2,,Education
EDU,361,Education of Except Children,EDU,,3,,Education
EDU,366,Lit for Children Early Grades,EDU,131202,3,,Education
EDU,367,Lit for Children Middle Grades,EDU,131202,3,,Education
EDU,370,Hist and Phil of American Educ,EDU,,3,,Education
EDU,371,Applied Linguistics for ESOL,EDU,,3,,Education
EDU,372,Methods & Materials of ESOL,EDU,,3,,Education
EDU,373,Practicum for TESOL,EDU,,3,,Education
EDU,396,Practicum in Education,EDU,,1,3,Education
EDU,401,Special Topics,EDU,,1,6,Education
EDU,405,Senior Field Experience,EDU,,1,,Education
EDU,410,Educational Assessment: EG,EDU,,1,,Education
EDU,411,Edu Assessment: Mid & Sec,EDU,,1,,Education
EDU,415,Content & Methods for Mid Gra,EDU,,4,,Education
EDU,427,Math Content/Skills Mdle Grds,EDU,131202,3,4,Education
EDU,454,Organization and Management,EDU,131202,2,,Education
EDU,455,Organ/Manag Mid Gr Classroom,EDU,131202,2,,Education
EDU,480,Sr Int Project: Elementary,EDU,,2,,Education
EDU,481,Sr Int Project: Education Stu,EDU,,2,,Education
EDU,482,Senior Seminar: Mid Grades,EDU,,1,,Education
EDU,488,Clinical Practice,EDU,,15,,Education
EDU,489,Clinical Practice Seminar: EC,EDU,,1,,Education
EDU,490,Student Teaching Seminar:MidGr,EDU,,1,,Education
EDU,491,Student Teaching Seminar: Sec,EDU,,1,,Education
EDU,492,Teaching Practicum-Elem Grades,EDU,,12,,Education
EDU,494,Sr Integ Proj and Seminar,EDU,,1,,Education
EDU,495,Tchng Prac I Elem Education,EDU,131202,7.5,,Education
EDU,496,Tchng Prac II Elem Education,EDU,131202,7.5,,Education
EDU,497,Tchng Prac I Sec Education,EDU,,7.5,,Education
EDU,498,Tchng Prac II Sec Education,EDU,,7.5,,Education
EDU,499,Special Topics in Education,EDU,131202,1,3,Education
EDU,510,Foundations for Curriculm Dev.,EDU,,2,,Education
EDU,520,Introduction to Research,EDU,,2,,Education
EDU,530,Content Area Literacy,EDU,,3,,Education
EDU,540,Nature/Need Adolescent Learner,EDU,,2,,Education
EDU,550,Hist/Phil of American Edu,EDU,,3,,Education
EDU,560,Curriculum and Methods,EDU,,3,,Education
EDU,570,Assessment and Research,EDU,,3,,Education
EDU,580,Clinical Practice I,EDU,,3,,Education
EDU,585,Diversity Field Experience,EDU,,1,,Education
EDU,590,Research Seminar,EDU,,4,,Education
EDU,595,Clinical Practice II,EDU,,8,,Education
EDU,610,Foundations for Curr Develop,MED,130401,3,,Masters of Education
EDU,620,Introduction to Research,MED,130401,3,,Masters of Education
EDU,630,Lrng Theory Applied to Tchng,MED,130401,3,,Masters of Education
EDU,650,The School in Society,MED,130401,3,,Masters of Education
EDU,712,Shaping School Curriculum K-12,MED,130301,3,,Masters of Education
EDU,720,Organizational Leadership,MED,130401,3,,Masters of Education
